id,sentence,gen_time_s,audio_dur_s,rtf,speaker_sim,quality_score,wer,precision,recall,f1
1,"Hello, how are you doing today?",48.05,3.15,15.268,0.996,0.622,None,0.0,0.0,0.0
2,"The weather is beautiful this morning.",18.24,3.1,5.876,0.9943,0.526,None,0.0,0.0,0.0
3,"I would like to order a coffee please.",52.24,5.47,9.546,0.9782,0.391,None,0.0,0.0,0.0
4,"Can you tell me the time right now?",16.25,2.45,6.623,0.9855,0.936,None,0.0,0.0,0.0
5,"She sells seashells by the seashore.",21.44,3.57,6.0,0.9912,0.235,None,0.0,0.0,0.0
6,"The quick brown fox jumps over the lazy ",33.38,5.06,6.601,0.9923,0.377,None,0.0,0.0,0.0
7,"Peter Piper picked a peck of pickled pep",34.62,6.12,5.655,0.9875,0.266,None,0.0,0.0,0.0
8,"How much wood would a woodchuck chuck?",17.03,2.69,6.333,0.9908,0.751,None,0.0,0.0,0.0
9,"To be or not to be, that is the question",29.73,5.15,5.771,0.983,0.434,None,0.0,0.0,0.0
10,"All that glitters is not gold.",22.6,3.94,5.742,0.9868,0.445,None,0.0,0.0,0.0
11,"A journey of a thousand miles begins wit",32.92,5.75,5.725,0.9851,0.571,None,0.0,0.0,0.0
12,"The early bird catches the worm.",15.79,2.55,6.194,0.9861,0.561,None,0.0,0.0,0.0
13,"Actions speak louder than words.",16.99,2.87,5.921,0.993,0.405,None,0.0,0.0,0.0
14,"Better late than never.",20.17,3.52,5.73,0.9937,0.321,None,0.0,0.0,0.0
15,"Every cloud has a silver lining.",17.83,3.06,5.822,0.9844,0.67,None,0.0,0.0,0.0
16,"I am going to the market to buy vegetabl",16.72,2.59,6.449,0.9888,0.583,None,0.0,0.0,0.0
17,"Please send me the report by tomorrow mo",28.13,4.96,5.671,0.9887,0.403,None,0.0,0.0,0.0
18,"The meeting has been scheduled for three",18.47,3.1,5.948,0.9821,0.597,None,0.0,0.0,0.0
19,"We need to finish this project before th",27.95,4.59,6.093,0.9865,0.555,None,0.0,0.0,0.0
20,"Could you please help me with this task?",14.52,2.41,6.021,0.9924,0.538,None,0.0,0.0,0.0
21,"Technology is changing the way we live a",19.53,3.34,5.848,0.9793,0.648,None,0.0,0.0,0.0
22,"Artificial intelligence is transforming ",24.23,4.86,4.981,0.9776,0.613,None,0.0,0.0,0.0
